%Change,,-10.0,-10.0,-10.0,0.0,0.0,0.0,10.0,10.0,10.0
Variable,,Kya,New Value,Percent Difference (%),Kya,New Value,Percent Difference (%),Kya,New Value,Percent Difference (%)
Parameter,Run,,,,,,,,,
Water Temp (K),4,3.166496423373358,268.335,0.0,3.166496423373358,298.15,0.0,3.166496423373358,327.965,0.0
Water Temp (K),5,2.6676360095884717,268.335,0.0,2.6676360095884717,298.15,0.0,2.6676360095884717,327.965,0.0
Air Density @25C and 1.02 atm (kg/m^3),1,5.769999486405092,1.089441,5.201575388377978e-05,5.769996485097921,1.21049,0.0,5.76999402931798,1.3315390000000003,-4.256120341705612e-05
Air Density @25C and 1.02 atm (kg/m^3),2,4.95792723687002,1.089441,4.943847786162144e-05,4.957924785747473,1.21049,0.0,4.957922780145051,1.3315390000000003,-4.045245760247859e-05
Air Density @25C and 1.02 atm (kg/m^3),3,4.239923268341566,1.089441,4.72124966160305e-05,4.2399212665688815,1.21049,0.0,4.239919628638147,1.3315390000000003,-3.8631159193214725e-05
Air Density @25C and 1.02 atm (kg/m^3),4,3.1664987669265385,1.089441,7.40109214432486e-05,3.166496423373358,1.21049,0.0,3.166494505668737,1.3315390000000003,-6.056234919983564e-05
Air Density @25C and 1.02 atm (kg/m^3),5,2.6676382317458702,1.089441,8.330062236930233e-05,2.6676360095884717,1.21049,0.0,2.667634191170399,1.3315390000000003,-6.816589917167352e-05
Molar Mass Air (g/mol),1,5.769993783731831,26.06823,-4.681746508696784e-05,5.769996485097921,28.9647,0.0,5.769999186284344,31.861170000000005,4.68143512731475e-05
Molar Mass Air (g/mol),2,4.957922579577951,26.06823,-4.449784167917689e-05,4.957924785747473,28.9647,0.0,4.9579269917661515,31.861170000000005,4.449479921886839e-05
Molar Mass Air (g/mol),3,4.2399194648393,26.06823,-4.2494411293345366e-05,4.2399212665688815,28.9647,0.0,4.239923068171357,31.861170000000005,4.249141344698281e-05
Molar Mass Air (g/mol),4,3.166494313885795,26.06823,-6.661897824119866e-05,3.166496423373358,28.9647,0.0,3.166498532586465,31.861170000000005,6.661031072919597e-05
